user,date_of_work,shift_started_time,break_started_time,break_finished_time,shift_finished_time,client_rep_name,client_rep_position,care_home_name
Staff A Careworker,14/06/2024,2024-06-14 08:00:00+00:00,13:00:00,14:00:00,2024-06-14 20:00:00+00:00,sf,Rgn,Saffron Garden
Staff B Careworker,11/06/2024,2024-06-11 20:00:00+00:00,00:00:00,01:00:00,2024-06-12 08:00:00+00:00,sf,Rgn,Orchard Grove
Staff C Careworker,15/06/2024,2024-06-15 20:00:00+00:00,01:00:00,02:00:00,2024-06-16 08:00:00+00:00,sf,Rgn,Orchard Grove
Staff B Careworker,12/06/2024,2024-06-12 08:00:00+00:00,12:00:00,13:00:00,2024-06-12 20:00:00+00:00,sf,Rgn,Saffron Garden
Staff A Careworker,12/06/2024,2024-06-14 08:00:00+00:00,14:00:00,15:00:00,2024-06-14 20:00:00+00:00,sf,Rgn,Orchard Grove
Staff B Careworker,14/06/2024,2024-06-14 08:00:00+00:00,14:00:00,15:00:00,2024-06-14 20:00:00+00:00,sf,Rgn,Orchard Grove
Staff A Careworker,16/06/2024,2024-06-14 08:00:00+00:00,14:00:00,15:00:00,2024-06-14 20:00:00+00:00,sf,Rgn,Saffron Garden
Staff C Careworker,16/06/2024,2024-06-16 08:00:00+00:00,12:00:00,13:00:00,2024-06-16 20:00:00+00:00,sf,Rgn,Saffron Garden
Staff A Careworker,10/06/2024,2024-06-10 08:00:00+00:00,10:00:00,11:00:00,2024-06-10 20:00:00+00:00,sf,Rgn,Saffron Garden
Staff B Careworker,10/06/2024,2024-06-10 08:00:00+00:00,13:00:00,14:00:00,2024-06-10 20:00:00+00:00,sf,Rgn,Saffron Garden
